title,address,price,price-addition,description,left-side (2),ownership,urgent-label
"Дом, 6 и более комнат, 250 м2, 8 соток","Бишкек, с. Кашка-Баш",$ 370 000,32 360 200 сом,Продаю современный двухэтажный дом с участком! ° Локация: с. Кашка-Баш • Площадь дома: 250 м2 + летняя кухня * Участок: 8 соток (размер 20х40 м) Дом строили для себя - всё продумано до мелочей! Монолитно-кирпичный дом - тёплый и надёжный Отопление на твёрдом топливе + тёплые полы Летняя терраса и ...,511,N/T,N/T
"Дом, 6 и более комнат, 222 м2, 8.9 соток","Бишкек, Киргизия 1 ж/м",$ 580 000,50 726 800 сом,"🏡Продается дом 📍Адрес: Киргизия 1 📐Площадь участка: 9 соток 📐Квадратура: 220 м2 💧Коммуникации: канализация, вода, газ на кухне, газовое отопление, 🚽 Санузел: 2 санузла 📕Документы: Красная книга, ДКП. 💵 Цена: $580.000 Асылбек Кыргыз Недвижимость ID: 60718",757,N/T,N/T
"Дом, 6 и более комнат, 156 м2, 5 соток","Бишкек, Кок-Жар ж/м",$ 137 000,11 982 020 сом,"СРОЧНО ПРОДАЕТСЯ ДОМ ПО ЦЕНА УЧАСТКА 🏡 Продается уютный дом в жилмассиве Кок-Жар! 📍 Локация: район Шоокум / Конорчок — развитая инфраструктура, всё рядом: магазины, школы, транспорт, и т.д. ✨ Преимущества: ▫️ Просторный дом – 156 м² ▫️ Участок – 4.6 сотки ▫️ 6 комнат – идеален для большой се...",147,N/T,N/T
"Дом, 4-комн., 110 м2, 5 соток","Бишкек, Ак-Орго ж/м",$ 110 000,9 620 600 сом,"🚨 СРОЧНО ПРОДАЁТСЯ ДОМ 🚨 📍 Район Ак-Орго, ближе к ул. Ахунбаева ✅ Отличная локация – развитая инфраструктура: – Школы, садики рядом – Всего 5 мин. езды до мкр Джал 📐 Участок: – Размер: 23.5 м х 20 м – По красной книге: 4.7 соток, по факту: 5.7 соток 💡 Все коммуникации центральные: – Газ – Свет – В...",1839,N/T,N/T
"Дом, 5-комн., 150 м2, 3 сотки","Бишкек, с. Кок-Джар",$ 110 000,9 620 600 сом,"🏡 Продается участок с домом в жилмассиве Кок-Жар! 📍 Расположение: Кок-Жар 📐 Площадь участка: 2.7 сотки 📏 Размер: 18 м (ширина) × 15 м (длина) 🏠 Дом: 150 м², под самоотделку 💡 Все коммуникации подключены: • Электричество • Газ • Вода • Канализация 🚗 Хороший асфальтированный подъезд 🌳 Участок пр...",1782,N/T,N/T
"Дом, 6 и более комнат, 240 м2, 4 сотки","Бишкек, Ден Сяопина - Фучика, васильева",$ 205 000,17 929 300 сом,"Продается уютный двухэтажный дом площадью 240 м², который идеально подойдет для комфортного проживания и бизнеса! Особенности дома: 6 комнат (вместе с кухней) 1 отдельный кабинет для работы Санузел Просторная котельная Подвал для хранения вещей Участок 4 сотки Во дворе: Хозпост...",587,N/T,N/T
"Дом, 6 и более комнат, 270 м2, 17 соток",с. Новопокровка,$ 345 000,30 173 700 сом,"Продаётся 3-х этажный дом в с. Новопокровка, начало, 1-я линия Участок: 17 соток (30*20) Общая площадь: 270 м2 + 120 м2 1-этаж: холл, 2 гостиные комнаты, гостевая спальня, 2 санузла, кухня 2-й этаж: 4 спальни, детская, 2 санузла Коммуникации: свет, вода, газ, септик Документы: красная книга...",114,N/T,N/T
"Дом, 3-комн., 90 м2, 4 сотки","Бишкек, Ак-Ордо 3 ж/м",$ 90 000,7 871 400 сом,"🏠 Срочно продаю свой дом | 90 м² | 4 сотки 📍 Ак-Ордо-3, район ТЭЦ 🟥 Участок в красной книге — полная собственность! ✨ О доме: ✅ Новый ремонт ✅ 3 комнаты: зал, 2 спальни и кухня ✅ Участок с двумя выходами 🚫 Без мебели 🚫 Газ и отопление пока не проведены (не делали) 🔌 Коммуникации: 💧 Водопро...",847,N/T,N/T
"Дом, 6 и более комнат, 220 м2, 4 сотки","Бишкек, Рухий Мурас ж/м",$ 265 000,23 176 900 сом,"🌟 Уютный 2-этажный дом с евроремонтом в ж/м Рухий-Мурас! 🌟 🏡 Площадь дома: 220 м² 📏 Участок: 4 сотки, 🛏 6 просторных комнат, 🚿 2 современных санузла, 🛋 Полностью меблирован, 🔌 Вся необходимая техника в наличии ✨ Современный евроремонт, 🔥 Теплый, светлый и очень уютный дом, 🛠 Заезжай и живи – н...",136,N/T,N/T
"Дом, 6 и более комнат, 195 м2, 6 соток","Бишкек, Учкун-2 ж/м",$ 185 000,16 180 100 сом,"Продается дом в ж/м Учкун-2! Участок 6 соток | Дом 194,5 м² Дом из 6и комнаты 2 этажа Кирпичный, 2013 г.п. | Требуется ремонт Все центральные коммуникации: Газ, канализация, 3 фазы Отопление: газ, электричество и твердое топливо Асфальт до дома | Удобный заезд Мечеть и всё необходимое рядом! Цен...",1450,N/T,N/T
"Дом, 5-комн., 120 м2, 4 сотки","Бишкек, Ак-Ордо ж/м",$ 135 000,11 807 100 сом,Продаю участок с домом! Идеально под сдачу в аренду или комфортное проживание! Продается дом на участке 4 сотки (с возможностью расширения до 8 соток) — отличное вложение для жизни или стабильного дохода от аренды! Общая площадь дома — 120 м² Все центральные коммуникации: — Газ — Свет — Канализаци...,1165,N/T,N/T
"Дом, 3-комн., 50 м2, 5 соток",с. Арашан,$ 65 000,5 684 900 сом,"🏡 Продается жилой дом с участком 💰 Цена: 65 000 $ 📍 Центральная линия (4 линия), середина улицы 📐 Участок: Правильной формы, форма 16.6 ан 29.3 дом расположен в начале участка — удобно для расширения или строительства. Вкопан бак объемом 3 тонны для хранения поливной воды (подача по графику...",1392,N/T,N/T
"Дом, 5-комн., 194 м2, 6 соток","Бишкек, Учкун-2 ж/м",$ 185 000,16 180 100 сом,"Продается дом в ж/м Учкун-2! Отличный вариант для комфортной жизни или выгодного вложения! • Участок 6 соток • Дом 194,5 м², построен в 2013 году из кирпича • Размер участка 15×40 м • Требуется ремонт, что дает возможность сделать все под себя Коммуникации все центральные: • Газ • Канализаци...",733,N/T,N/T
"Дом, 5-комн., 180 м2, 38 соток","Бишкек, с. Орто-Сай",$ 179 000,15 655 340 сом,"Продаётся 2-этажный дом в самом престижном районе села Орто-Сай, по улице Ормокеева. 1 этаж: гостиная, холл, 2 спальни, санузел, кухня 2 этаж: 3 спальни, санузел, балкон Общая площадь — 180 м² Участок — 3,8 сотки, ровный Фасад — жидкий травертин Крыша — металло черепица Брусчатка, место...",378,N/T,N/T
"Дом, 5-комн., 220 м2, 7 соток",с. им. С. Чокморова,$ 450 000,39 357 000 сом,"Дом мечты в горах — для тех, кто ценит комфорт и тишину Продаётся дом в закрытом коттеджном городке в селе Чокморова, рядом с Байтиком. • 220 м² – черновая отделка (ПСО) • Участок 7 соток • Всего 27 домов – приватность и безопасность • Чистый горный воздух, тишина и потрясающие виды • Все коммуника...",1424,N/T,N/T
"Дом, 2-комн., 48 м2, 5 соток",д/п Бек-Тоо,$ 52 000,4 547 920 сом,"🏡 Срочно продаётся дом в районе Дача Бек-Тоо (Восход, 21 линия)! 📐 Площадь дома: 48 м² 🛏 Планировка: зал, спальня, кухня, санузел 🏗 Построен в 2020 году, свежий косметический ремонт ➕ Дополнительно: 🏠 Времянка + летняя кухня (12×4 м) 🧱 Фундамент под расширение — 3 м глубиной (6×10 м) 🚿 Ду...",900,N/T,N/T
"Дом, 5-комн., 120 м2, 4 сотки","Бишкек, Магистраль",$ 134 000,11 719 640 сом,"Срочно продается новый кирпичный утепленный дом ж/ м Рухий Мурас 2 ( район Тунгуча) ниже Горького. Красная книга, 4 соток, площадь дома 120кв. м. В Доме три спальных комнат, зал, кухня, хол, санузел, топка, небольшой тамбур. Рядом школа, сады, конечная автобусов, недалеко от дома, ездит 244 ...",140,N/T,N/T
"Дом, 2-комн., 50 м2, 2 сотки","Иссык-Кульская область, с. Кара-Ой",$ 60 000,5 247 600 сом,"Продается таунхаус в пансионате Каусар Иссык Кульская область село Кара Ой , Долинка Площадь 50м2 2 этажа Вся мебель и техника остается Отличный вариант для отдыха круглый год Атай Цена 60000$ ID: 67355",295,N/T,N/T
"Дом, 6 и более комнат, 150 м2, 7 соток","Бишкек, Бакай-Ата ж/м",$ 230 000,20 115 800 сом,"Продаю дом Свердловский район, жилой массив Бакай-Ата Двухэтажный утепленный пеноплексом дом из жженого кирпича, с большой застеклённой лоджией. В цену включена вся мебель с фото + бытовая техника (большой холодильник Indesit, микроволновка Samsung, бойлер Ariston, 2 духовые печи Indesit и Ferre, ст...",15484,СОБСТВЕННИК,N/T
"Дом, 6 и более комнат, 300 м2, 4.7 сотки","Бишкек, Арча-Бешик ж/м",$ 360 000,31 485 600 сом,"Срочно продается новый белоснежный особняк в ж/м Арча- Бешик. Количество комнат: 6 комнат Площадь (м2): 290 Площадь участка (соток): 4.7 Количество этажей: 2 Отопление: Газовое отопление Ремонт: Дизайнерский ремонт Коммуникации: Водопровод, Газ, Канализация, Электричество Район: Арча-Бешик...",175,N/T,N/T
"Дом, 6 и более комнат, 380 м2, 4 сотки","Бишкек, Кок-Жар ж/м",$ 549 999,48 102 913 сом,"🏡 Продается шикарный особняк в престижном районе ж.м Кок-Жар ! Дом, в который хочется заехать сразу — стиль, комфорт и надёжность на 100%! Недалеко от Ахунбаева и 7 Апреля 📍 ОСНОВНЫЕ ХАРАКТЕРИСТИКИ: • 📐 Площадь дома: 380 м² • 🌿 Участок: 4 соток • 🛏 6 просторных комнат — для большой и дружн...",148,N/T,N/T
"Дом, 5-комн., 164 м2, 4 сотки","Бишкек, Тоголок-Молдо - БЧК, Кызыл Алма/Тоголок молдо",$ 175 000,15 305 500 сом,"Продаю уютный, добротный дом! Дом постройки 2021 год. Площадь 164 м2 Дом Утепленный, снаружи жидкий травертин. Дом 3-х уровневый, полноценный подвал, 1,5 кирпича стены. Все центральные коммуникации. Отопление газ( так можно углем.). Большой огород, сад(яблони,персики,черешня,груша). Параметр...",159,N/T,N/T
"Дом, 4-комн., 100 м2, 7 соток","Бишкек, Арча-Бешик ж/м, кен суу/чортекова",$ 330 000,28 861 800 сом,🏠 Продаю дом + 2 готовых бизнеса в Арча-Бешик! 📍 Локация: 1 линия от ул. Чортекова (угловой участок) 🌐 Отличный вариант под бизнес и для жизни! 🔹 Площадь дома: 100 м² 🔹 Количество комнат: 4 🔹 Площадь участка: 7 соток 🔹 Этажность: 1 этаж 🔹 Состояние: ЕвроРемонт 🔹 Отопление: Газовое + электрич...,457,N/T,N/T
"Дом, 4-комн., 130 м2, 4 сотки","Бишкек, Ак-Ордо ж/м",$ 127 000,11 107 420 сом,"Продаётся уютный и тёплый дом в районе Ак Ордо-2 Площадь дома 130 м2 , 4 комнаты участок 4 сотки ✅ Фундамент: ширина 50 см, высота 1–1.4 м ✅ Стены: 1.5 кирпича, утепление — пенопласт, снаружи покрытие жидким травертином и штукатуркой ✅ Потолки: натяжные, под ними — утепление (пенопл...",1277,N/T,N/T
"Дом, 6 и более комнат, 326 м2, 4 сотки","Бишкек, Физкультурный",$ 660 000,57 723 600 сом,"Продаём роскошный особняк по улице Ахунбаева советский 4 соток,326 кв.м высота потолков 3,65 метра коммуникации все центральные и отопление тоже(Т.Э.Ц),тёплые полы и лучевая система батарей, интернет оптоволокно. утепление базальт окна алюминиевый профиль,энергосберегающие с утеплением 5-ти к...",1130,N/T,N/T
"Дом, 3-комн., 100 м2, 5 соток","Бишкек, с. Новопавловка",$ 106 000,9 270 760 сом,"Продажа дома на первой линии — отличное решение под бизнес!!! Продаётся отдельностоящий дом площадью 100 м², расположенный на первой линии — место с высоким трафиком и отличной видимостью. Пожеланию можете сделать под любые виды коммерческой деятельности: офис, магазин, салон, медцентр,...",99,N/T,N/T
"Дом, 5-комн., 140 м2, 7.2 соток","Бишкек, Арча-Бешик ж/м",$ 295 000,25 800 700 сом,"Продается просторный участок 8 соток с домом в престижном районе Арча-Бешик! 🌿 Главное преимущество – участок! • Площадь: 7,2 соток по документам, фактически 8 соток! • Ровный, ухоженный участок – идеально подходит для ландшафтного дизайна, сада, зоны отдыха или строительства дополнительного объе...",1195,N/T,N/T
"Дом, 4-комн., 450 м2, 10 соток","Бишкек, Арча-Бешик ж/м, Шербет/Чортекова",$ 520 000,45 479 200 сом,"Продаётся готовый швейный цех в престижном районе! Площадь производственного помещения — 330 кв. м. Участок — 10 соток, территория полностью благоустроена. На участке имеется: • жилой дом площадью 120 кв. м, • отдельная кухня с отдельным входом, • душевая комната, • 4 хозяйственные постройки, ...",2,СОБСТВЕННИК,N/T
"Дом, 5-комн., 235 м2, 4 сотки","Бишкек, Арча-Бешик ж/м",$ 315 000,27 549 900 сом,"Продается дом в Арча-Бешике! Основные характеристики: • Фундамент: монолитный, глубина 60 см, арматура Ø16. • Колонны: мощные, с использованием арматуры Ø18. • Стены: наружные из качественного турецкого кирпича в 1,5 кирпича. • Крыша: кровля Comet, толщина 0,4 мм, утепление базальтовое. • Сосн...",2044,N/T,N/T
"Дом, 5-комн., 70 м2, 12 соток","с. Новопокровка, новопокровка",$ 130 000,11 369 800 сом,"Продаётся дом в селе Новопокровка Площадь дома: 70 м² Участок: 12 соток Описание: Продаётся уютный дом с большим земельным участком в тихом и спокойном месте. Все основные коммуникации рядом: Электричество — подключено Вода — есть Газ — подведён к участку, но не заведён в дом Канализац...",1,N/T,N/T
"Дом, 5-комн., 100 м2, 3 сотки","Бишкек, Бишкек-Парк, Керимбекова",$ 239 999,20 990 313 сом,"🏡 Продается дом в Золотом Квадрате! 🏡 📍 Белинка / Боконбаева – престижное расположение в самом центре города! ✨ О доме: ✅Участок 2.7 сотки ✅Дом 100 м2 ✅3 просторные комнаты ✅Все центральные коммуникации, включая канализацию ✅Идеально для бизнеса: офис, магазин, кафе и многое дру...",2063,N/T,N/T
"Дом, 6 и более комнат, 183 м2, 4.5 сотки","Бишкек, Горького - Панфилова",$ 280 000,24 488 800 сом,"Продаю. Срочно!!! 2-х этажный Дом, ул.Горького/Темирова (Юг-2), Площадь дома 183кв2., Земельный участок 4.4соток. Красная книга. Дом 6ком+кухня+2с/уз+ прихожка+прачечная. Свет, вода, газ, центральная канализация, крыша ворота металлические, дв/бр, окна/пластиковые, двери/лестница/полы/ деревянные, к...",3602,N/T,N/T
"Дом, 6 и более комнат, 340 м2, 8 соток","Бишкек, с. Кок-Джар",$ 480 000,41 980 800 сом,"Продаётся шикарный 2-х этажный дом с подвалом со всеми условиями Район: с. Кок-Джар Участок: 8 соток Форма участка: 20x40 Правильная прямоугольная Площадь дома: 340м2 Состояние: свежий ремонт Коммуникация: свет, газ, вода Цена: $480 000 торг Айзирек ID: 67434",219,N/T,N/T
"Дом, 5-комн., 350 м2, 8 соток","Бишкек, Гагарина",$ 670 000,58 598 200 сом,"Продаётся 2-уровневый особняк — 350 м², участок 8 соток! 📍 Район завода Coca-Cola Элитный дом, построенный для себя, продуман до мелочей. Фасад выполнен из Сары-Таш, территория с ландшафтным дизайном, подсветкой и красивым газоном. ✨ Преимущества и удобства: Крытая парковка на 3 машины ...",227,N/T,N/T
"Дом, 4-комн., 140 м2, 4 сотки","Бишкек, Ак-Орго ж/м",$ 152 000,13 293 920 сом,"Продается уютный дом в районе Ак-Орго Площадь дома: 140 м² | 4 комнаты Участок: 4 сотки | 1 этаж Коммуникации: вода, газ, канализация, электричество Отопление: автономное (газ + электричество) Преимущества: – Утепленный дом – Теплый пол – Огороженная территория – Сарай для хранения Наличны...",985,N/T,N/T
"Дом, 4-комн., 89 м2, 8 соток",с. Беш-Кунгей,$ 148 000,12 944 080 сом,"Продается 4-х комнатный дом в селе Беш-Кунгей Участок: 8 соток Площадь дома: 89 м2 Коммуникация: водопровод, электричество Отопление: автономное, смешанное Материал: саманный кирпич Документы: красная книга, тех паспорт, договор купли-продажи Хоз. постройки, баня, гараж, погреб большо...",236,N/T,N/T
"Дом, 6 и более комнат, 200 м2, 6 соток","Бишкек, Рухий Мурас ж/м, Рухий Мурас 1/Анкара",$ 285 000,24 926 100 сом,"Продается шикарный двухэтажный дом в Рухий Мурас (Ауэзова/Горького) 💰 Цена: $285,500(мини-торг) 200 м², 6 комнат, 4 сотки Дизайнерский ремонт, теплый пол, фасад — травертин 🔥 Газовое отопление, все коммуникации Видеонаблюдение, бронированные двери, забор Навес на 2 авто, двор с брусчаткой ...",229,N/T,N/T
"Дом, 6 и более комнат, 396 м2, 10 соток","Иссык-Кульская область, с. Тамчы",$ 325 000,28 424 500 сом,"🏡 Продаётся гостевой дом | Иссык-Куль, г. Тамчы 📍 Рядом с пансионатом ""Рахат"", всего 300 м до пляжа 📐 Участок: 10 соток 🏗 Под ПСО (предчистовая отделка) 🚪 18 комнат, каждая по 22 м² 🛁 Санузел в каждой комнате 📄 Все документы в порядке 📞 Отличное место под гостиничный бизнес у озера! Звоните п...",709,N/T,N/T
"Дом, 5-комн., 110 м2, 12 соток","Бишкек, с. Кок-Джар, Конур осмон 5",$ 275 000,24 051 500 сом,"Срочно продается угловой участок в селе Кок Жар! 📏 Площадь: 12 соток 💰 Цена: $275 000 Особенности участка: • Угловой участок с возможностью удобного подъезда с двух сторон • Развитая инфраструктура: асфальтированные дороги, электричество, вода • Отличное место для строительства дома или коммерче...",1694,N/T,N/T
"Дом, 6 и более комнат, 380 м2, 17 соток","с. Новопокровка, Ленина/Советская",$ 345 301,30 200 000 сом,"Продаётся 3-х этажный дом в с. Новопокровка, начало, 1-я линия Участок: 17 соток (30*20) Общая площадь: 380 м2 (270 м2 + 120 м2 почти) 1-этаж: холл, 2 гостиные комнаты, гостевая спальня, 2 санузла, кухня 2-й этаж: 4 спальни, детская, 2 санузла Коммуникации: свет, вода, газ, септик Документы...",169,N/T,N/T
"Дом, 6 и более комнат, 330 м2, 6 соток","Бишкек, Арча-Бешик ж/м",$ 350 000,30 611 000 сом,🏡 Продается новый дизайнерский дом в Арча-Бешик! | 2023 г.п. | 7 комнат | 330 м² | 6 сотки | 2 этажа + подвал ✨ Преимущества: — Кирпичный дом с дизайнерским ремонтом — Газовое отопление — С мебелью — Центральные коммуникации 📑 Документы в порядке тех паспорт красная книга 350 000$ Айб...,206,N/T,N/T
"Дом, 6 и более комнат, 120 м2, 5 соток","Бишкек, Ак-Ордо ж/м",$ 119 000,10 407 740 сом,"🏡 Продаётся дом в Ак-Ордо (пересечение ул. Лущихина и Алыкулова) 📐 Участок: 5 соток 🏠 Дом: одноэтажный, 6 комнат (4 спальни, отдельная кухня, коридор, веранда, санузел) ➕ Дополнительно: сарай, навес, двухкомнатная времянка для квартирантов с отдельным входом 🔑 Преимущества: Центральная канализа...",209,N/T,N/T
"Дом, 6 и более комнат, 169 м2, 4 сотки","Бишкек, Ак-Ордо ж/м, седеп",$ 185 000,16 180 100 сом,"🏡 Продается дом в Ак-Ордо, ул. Седеп 💰 Цена: 185000$ 💸 Торг уместен! 📐 Площадь 169,1 м² 🏞️ Участок 4 сотки 🧱 Стены: кирпич + утепление 🛏️ 2 этажа + мансард | 🏗️ 2025 г. постройки 🌡️ Тёплый пол (1 эт), отопление: электричество, твёрдое топливо, газ 📑 Документы: гос. акт, техпаспорт, ДКП 🪑 ...",946,N/T,N/T
"Дом, 4-комн., 130 м2, 7 соток","Бишкек, Шлагбаум",$ 158 000,13 818 680 сом,"❗Срочно❗Продается Дом 7соток, (фактич 8соток) 130м2 в районе Фучика ✅Полностью огорожен ✅Есть:свет, вода,канализация,газ ✅Отопления: Газовое, есть 3фазка ✅Частично мебель остается ✅ Дом кирпичный 🧱 ✅ Есть доход (3 квартиранта) ✅Район: Шлагбаум ✅Цена: 158.000$ Кыргыз Недвижимость ...",694,N/T,N/T
"Дом, 5-комн., 105 м2, 4 сотки","Бишкек, Ошский рынок",$ 140 000,12 244 400 сом,"Продаю дом Район Западного автовокзала (ул. Кулиева / Жибек Жолу) Площадь дома — 105 м² участок — 4 сотки (Красная книга) Кирпичный, 2 этажа 4 спальни | кухня-студия 2 санузла | ванная Газовое отопление 3-фазное электричество Центральная канализация Большой двор, удобный заезд ...",6,N/T,N/T
"Дом, 5-комн., 280 м2, 5 соток","Бишкек, Алтын-Ордо ж/м",$ 270 000,23 614 200 сом,"Продаю большой дом в Алтын-Ордо, 5 соток, 280 м2 за 270000$ Продаю 5-комнатный дом В Алтын-Ордо (по асфальтированной улице) Участок 5 соток Красная книга, тех паспорт на руках Дом 2-уровневый Толщина 1.5 кирпича На участке центральная канализация и газ подключены Отопление газовый котел Перекры...",316,N/T,N/T
